Player	Deck	Date Played	Won (Y/N)	Game Number
Nic	Abaddon Demon Cascade	6/02/2025	No	107
Ben	Prosper Exile	6/02/2025	Yes	107
Ashe	Hugs Creatures	6/02/2025	No	107
Nic	Abaddon Demon Cascade	6/02/2025	No	108
Ben	Prosper Exile	6/02/2025	Yes	108
Ashe	Minn Illusions	6/02/2025	No	108
Nic	Grist Insects	6/02/2025	No	109
Ben	Prosper Exile	6/02/2025	No	109
Otis	Henzie Blitz	6/02/2025	Yes	109
Ashe	Minn Illusions	6/02/2025	No	109
Nic	Grist Insects	6/02/2025	No	110
Ben	Prosper Exile	6/02/2025	Yes	110
Otis	Creative Energy	6/02/2025	No	110
Ashe	Hugs Creatures	6/02/2025	No	110
Nic	Eternal Might	7/02/2025	No	111
Ben	Eternal Might	7/02/2025	Yes	111
Hugh	Living energy	7/02/2025	No	111
Nic	Eternal Might	11/02/2025	No	112
Ben	Endless Punishment	11/02/2025	No	112
Otis	Henzie Blitz	11/02/2025	Yes	112
Hugh	Living energy	11/02/2025	No	112
Dante	Ur-Dragon Dragons	11/02/2025	No	112
Nic	Eternal Might	11/02/2025	No	113
Ben	Endless Punishment	11/02/2025	Yes	113
Dante	Ur-Dragon Dragons	11/02/2025	No	113
Hugh	Living energy	11/02/2025	No	113
Nic	Grist Insects	16/02/2025	Yes	114
Ben	Eternal Might	16/02/2025	No	114
Otis	Henzie Blitz	16/02/2025	No	114
Ashe	Ghave Saprolings	16/02/2025	No	114
Nic	Eternal Might	16/02/2025	No	115
Ben	Endless Punishment	16/02/2025	Yes	115
Ashe	Ghave Saprolings	16/02/2025	No	115
Otis	Henzie Blitz	16/02/2025	No	115
Nic	Eternal Might	17/02/2025	No	116
Ben	Quick Draw	17/02/2025	No	116
Ashe	Hugs Creatures	17/02/2025	Yes	116
Nic	Lynde Curse	17/02/2025	Yes	117
Ben	Endless Punishment	17/02/2025	No	117
Dante	Ur-Dragon Dragons	17/02/2025	No	117
Ashe	Minn Illusions	17/02/2025	No	117
Nic	Eternal Might	17/02/2025	No	118
Ben	Hashaton Discard	17/02/2025	Yes	118
Ashe	Hugs Creatures	17/02/2025	No	118
Dante	Ur-Dragon Dragons	17/02/2025	No	118
Nic	Chiss-Goria Artifacts	21/02/2025	No	119
Dante	Ur-Dragon Dragons	21/02/2025	Yes	119
Otis	Henzie Blitz	21/02/2025	No	119
Ben	Prosper Exile	21/02/2025	No	119
Nic	Chiss-Goria Artifacts	21/02/2025	No	120
Ben	Hashaton Discard	21/02/2025	No	120
Otis	Henzie Blitz	21/02/2025	Yes	120
Dante	Ur-Dragon Dragons	21/02/2025	No	120
Nic	Baeloth Minions	25/02/2025	No	121
Ben	Prosper Exile	25/02/2025	No	121
Otis	Henzie Blitz	25/02/2025	No	121
Dante	Ur-Dragon Dragons	25/02/2025	No	121
Ashe	Hugs Creatures	25/02/2025	No	121
Jaxon	Miiryn Dragons	25/02/2025	Yes	121
Nic	Baeloth Minions	25/02/2025	No	122
Dante	Ur-Dragon Dragons	25/02/2025	No	122
Ashe	Marina Rooms	25/02/2025	No	122
Ben	Endless Punishment	25/02/2025	No	122
Jaxon	Inniaz Theft	25/02/2025	No	122
Otis	Henzie Blitz	25/02/2025	Yes	122
Nic	Baeloth Minions	27/02/2025	No	123
Ben	Mishra's Burnished Banner	27/02/2025	No	123
Otis	Henzie Blitz	27/02/2025	No	123
Al	Voja Elves	27/02/2025	Yes	123
Nic	Baeloth Minions	27/02/2025	No	124
Ben	Prosper Exile	27/02/2025	Yes	124
Otis	Henzie Blitz	27/02/2025	No	124
Al	Voja Elves	27/02/2025	No	124
Nic	Chiss-Goria Artifacts	28/03/2025	Yes	125
Ben	Hashaton Discard	28/03/2025	No	125
Ashe	Tinybones Discard	28/03/2025	No	125
Nic	Grist Insects	28/03/2025	Yes	126
Ben	Hashaton Discard	28/03/2025	No	126
